title,address,jobType,educational,workExperience,workTag,salary,salaryMonth,companyTag,hrWork,hrName,practice,companyTitle,companyAvatar,companyNature,companyStatus,companyPeople,detailUrl,companyUrl,dist
Python python应用工程师（AI方向）,西安,python,大专,1-3年,Python|机器学习经验,"[8000, 13000]",0薪,"[""带薪年假"", ""股票期权"", ""节日福利"", ""加班补助"", ""夜班补助"", ""员工旅游"", ""绩效奖金"", ""高温补贴"", ""零食下午茶"", ""全勤奖"", ""节假日加班费"", ""生日福利"", ""五险一金"", ""年终奖"", ""团建聚餐""]",师女士,招聘者,False,天天出行科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20191212/95b334bbfc24a72d4a476f157af171bdf3dd4ba6b77d6bc947a827587284fba5_s.jpg?x-oss-process=image/resize,w_100,limit_0",动力电池,D轮及以上,"[100, 499]",https://www.zhipin.com/job_detail/3c4e447506d2e70303R409q8FFpQ.html?lid=aIw13aFa3Ip.search.1&securityId=z2qwRyffYt2Ez-i1jpbhjG9GKwtLoPPgblytqfSehENgd_06yMi2turj3yahc4_LdsDmKCMV_SH7NxOTlnW6t_yYYa9Y-e7E15YJRHWBYl5bgCzz1w~~&sessionId=,https://www.zhipin.com/gongsi/8e94cacb69044e210n1z2NS0FQ~~.html,雁塔区
初级 Python 开发工程师,西安,python,本科,在校/应届,MySQL|Python,"[7000, 12000]",13薪,"[""生日福利"", ""节日福利"", ""年终奖"", ""零食下午茶"", ""带薪年假"", ""定期体检"", ""五险一金"", ""餐补""]",何女士,HR,False,庖丁科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20210118/116fc0b6c2de3018f1142c0583ed5954045135a88d2db382c47afc97b18bfbd2_s.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,A轮,"[100, 499]",https://www.zhipin.com/job_detail/7eb6966ddef471591XJz09W5E1NR.html?lid=aIw13aFa3Ip.search.2&securityId=DF-4RCDzxhDTE-q1Oil9hH6nxLhbFxO1dX6dJfwpPrWYSFRAEzlCzyXCF5zyQzfnEpHlZfEN2tohDbR7Uvqte0ETnFnTQa12Isd4_8eo1kGo4ZIh72MjajLT7_z_9J2OUex2JBEcEI9zT-SVwN37Hzg~&sessionId=,https://www.zhipin.com/gongsi/0bcec1e5436c045d1nR42di4GA~~.html,雁塔区
python/go后台开发实习生,西安,python,本科,6个月,Python|Golang|C++|Docker|Kubernetes|MySQL|,"[200, 300]",0薪,"[""免费健身房"", ""节日福利"", ""团建聚餐"", ""补充医疗保险"", ""年终奖"", ""员工旅游"", ""交通补助"", ""定期体检"", ""意外险"", ""免费班车"", ""带薪年假"", ""五险一金"", ""公仔周边活动"", ""有无线网""]",魏先生,云存储-后台开发,True,腾讯,"https://img.bosszhipin.com/beijin/mcs/bar/20200430/4204e9c9f200b00b77fb59d093acd281be1bd4a3bd2a63f070bdbdada9aad826.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/b17ba109bcbd926e1HN63NW4E1pX.html?lid=aIw13aFa3Ip.search.3&securityId=yRrrhmUrL7AjC-E18iPylr4cPXvgKqaDMSRrXiHDBWaGKw9ni5Q1aknJpvoDJ3AJdbERnIl0KFBK-ulovfladW16k7K0t-e7iu2wRNwaHurevg~~&sessionId=,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html,雁塔区
软件工程师(C/C++/Java/Python),西安,python,本科,1-3年,Python|Java|C|Django|MySQL|Spark,"[13000, 20000]",0薪,"[""五险一金"", ""补充医疗保险"", ""节日福利"", ""保底工资"", ""离职补偿"", ""法定节假日三薪"", ""员工旅游"", ""节假日加班费"", ""股票期权"", ""定期体检"", ""年终奖"", ""免费班车"", ""绩效奖金"", ""带薪年假""]",彭女士,招聘,False,华为技术有限公司,"https://img.bosszhipin.com/beijin/upload/admin/20241009/7a57a5a743894a0e61db0c9f94e55da3789b92c168491f5575a8c6cfd5eed090fc41aa91be88d106.png.webp?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/05ced5b8b05b561c1HBz2tW6ElNR.html?lid=aIw13aFa3Ip.search.5&securityId=nq3t_6Ln4DpAK-B10B40ur7GA5Ot_dIQBKnFuI7hqiY5yA_f8c3f-34UmCPi9rq0cqU3d8HrtEuEDn6Ac89UDik2Ha6ppvrf1eaYgzMNiQX2PR3uwA~~&sessionId=,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html,雁塔区
Python,西安,python,本科,3-5年,Docker|Redis|Python,"[12000, 20000]",0薪,"[""团建聚餐"", ""节日福利"", ""五险一金"", ""生日福利"", ""带薪年假"", ""股票期权""]",张先生,招聘顾问,False,德科信息有限公司,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20231107/7bf6f160950405e985c837a4cbcb50ebede3b22bd84a1a342f2cfe60d762ca3968d0c46de6336218.png.webp?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[1000, 9999]",https://www.zhipin.com/job_detail/a0cd2fbeff4d441503Z92d-4FFRU.html?lid=aIw13aFa3Ip.search.6&securityId=qUS5qfxCnhLDk-U1AaM5Vt7VSTM68t-ttbIo3I-TeFbS29sY6MNRCfWhVdY5zaYQa0RUDZxuCDB5t2QxNlp4ZMmjYuvhXp20ZTcGSPxIFm7gim5caPTzd6zpojSs0tjouhuDfwk7F52xtG7xdvXJpg~~&sessionId=,https://www.zhipin.com/gongsi/f57be2adf58202040XN83d-7FQ~~.html,雁塔区
python web开发,西安,python,本科,1-3年,Python|Flask|Scrapy|Docker|MySQL|Redis||||,"[5000, 8000]",13薪,无,封先生,人事经理,False,西安浩翰天御信息技术,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",互联网,未融资,"[0, 20]",https://www.zhipin.com/job_detail/4245486bea377bdc1H173du7FFVQ.html?lid=aIw13aFa3Ip.search.7&securityId=egixa1bp424Rn-l1wYAEPPXl-Z9mGzSBF-BKn4VUIBRvz_AkeG-ySC-M-R4soO88WicLqFaRbESEOADWI0HMu-otdypaXLhEYTRUdQckEmrnNL5qj_4~&sessionId=,https://www.zhipin.com/gongsi/4d054a0437ac10661HN-3t24Flc~.html,雁塔区
Python,西安,python,本科,经验不限,Python|Django|MySQL|Redis|Oracle,"[18000, 35000]",0薪,"[""节假日加班费"", ""定期体检"", ""意外险"", ""住房补贴"", ""通讯补贴"", ""带薪年假"", ""股票期权"", ""免费班车"", ""交通补助"", ""五险一金"", ""零食下午茶"", ""补充医疗保险"", ""生日福利"", ""节日福利"", ""加班补助"", ""年终奖""]",骆先生,软件开发,False,华为终端有限公司,"https://img.bosszhipin.com/beijin/upload/com/logo/20210316/73ea6807f43915a26ed9cc2674429bae3e8741717a4ad566bdbc95a3b8d77bcb.png?x-oss-process=image/resize,w_100,limit_0",互联网,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/dcf82f2c9018c4131Hx83t66EVJZ.html?lid=aIw13aFa3Ip.search.9&securityId=YJ3oAnVjBpqeW-s1L7DGNo5xBJk5gPmiwXGh1BjTNGGb_uVoiifXaWzYg3JJvkBWLeiYLm1MqUtLfXiyaIzYGrwszBD27nWbnunQafT2QNviR5AfjBFi6a1qWsZGaGiUbxsHjmhmGPP4xcuKROvcpH8~&sessionId=,https://www.zhipin.com/gongsi/1fcb005b2df3d7d303J73dW4Ew~~.html,雁塔区
Python,西安,python,本科,5-10年,Python|Pandas|Numpy|PyTorch|MySQL|分布式经验|,"[10000, 15000]",0薪,"[""节日福利"", ""股票期权"", ""五险一金"", ""年终奖""]",郭先生,行政人事部经理,False,诺维北斗,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20170831/78b61af3a4d323c043aa89880d761d8fcfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,已上市,"[20, 99]",https://www.zhipin.com/job_detail/720baaaf39adf8c51HNz29m7F1tS.html?lid=aIw13aFa3Ip.search.10&securityId=So1weHigFFIHP-G1Gclh2_cVt2nY2ryiVPG044kKeoFMi7LAUF6MEkqWOM8DF6eoMwfsC1IXlaZu879YqnpKSSeLn36JOcaMmgykStoRIjk3Y7WQtdKdG8KuBxqDd5OklUhYh_bq9OR-UcPBBU3q&sessionId=,https://www.zhipin.com/gongsi/94e752978cd94a2e0HNy2tq_.html,长安区
python,西安,python,本科,经验不限,Python|Django|MySQL,"[10000, 15000]",0薪,"[""加班补助"", ""交通补助"", ""带薪年假"", ""补充医疗保险"", ""通讯补贴"", ""零食下午茶"", ""生日福利"", ""节日福利"", ""团建活动"", ""定期体检"", ""五险一金"", ""免费班车""]",赵女士,HR,False,软通动力,"https://img.bosszhipin.com/beijin/upload/com/logo/20210830/7b5b554d84f9729cb81dae6da87b9eddbf6e3e481ce34ae8c7421cffdbdea8d6f11cda4aeefd5586.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,已上市,"[0, 10000]",https://www.zhipin.com/job_detail/612bf1ef1edcc70f1HZ40tS_FVpZ.html?lid=aIw13aFa3Ip.search.11&securityId=fImBXqTZdy2p9-P1kW2aDrZB0RFcyo4RsSEFqP1hkkE5liReMzb2UvMchkyt3hLNkui_W0-ImShg3PFjCH-wG7UcH4nm4cboLTjqETZobd9E6ULF1l8BlWLhVQhTchpoWakJrp24y5w3760eWZo2WDE~&sessionId=,https://www.zhipin.com/gongsi/c8311034740eee121nVz09S7E1U~.html,雁塔区
Python,西安,python,本科,经验不限,Python|Java|C++|C|Pandas|Numpy|MySQL,"[11000, 16000]",14薪,"[""带薪年假"", ""零食下午茶"", ""保底工资"", ""团建聚餐"", ""夜班补助"", ""员工旅游"", ""法定节假日三薪"", ""节日福利"", ""节假日加班费"", ""免费班车"", ""加班补助"", ""定期体检"", ""五险一金"", ""年终奖"", ""企业年金"", ""股票期权"", ""绩效奖金"", ""意外险"", ""补充医疗保险"", ""交通补助""]",卢先生,软件开发工程师,False,华为,"https://img.bosszhipin.com/beijin/upload/admin/20241009/7a57a5a743894a0e61db0c9f94e55da3789b92c168491f5575a8c6cfd5eed090fc41aa91be88d106.png.webp?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/d94e171f83ca17991H1_3dq0F1dV.html?lid=aIw13aFa3Ip.search.13&securityId=oBhoVut7ECGZg-v1lLgFEe-pIQdOOgOF0jzDWBIVyduvgfTw41R_g2mxizecR58dz2JyIUFmwC-oGoP2SCqlGr4JNu6_I2lLuV5pERVIe46NqQk~&sessionId=,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html,雁塔区
python开发,西安,python,本科,3-5年,后端|Python|Java|C/C++,"[15000, 25000]",15薪,"[""股票期权"", ""绩效奖金"", ""加班补助"", ""有无线网"", ""团建聚餐"", ""员工旅游"", ""五险一金"", ""带薪年假"", ""年终奖"", ""免费班车"", ""节日福利"", ""节假日加班费"", ""补充医疗保险"", ""生日福利"", ""保底工资"", ""定期体检"", ""零食下午茶"", ""法定节假日三薪"", ""意外险""]",蔡先生,工程师,False,上海华为技术有限公司,"https://img.bosszhipin.com/beijin/upload/admin/20241009/7a57a5a743894a0e61db0c9f94e55da3789b92c168491f5575a8c6cfd5eed090fc41aa91be88d106.png.webp?x-oss-process=image/resize,w_100,limit_0",通信/网络设备,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/41898c9fbcc413fe1HV-0ty7GFJQ.html?lid=aIw13aFa3Ip.search.14&securityId=cU0WYDMELSUMQ-T1ewXeoJUKJ1hnV59m62XK8K7HD6WriTbQaqKcjD34CRk0HVuEPPVOyUf0yUotf7Xd9lEKRIHkdYcTO0ALHnFmo4gFe1ggm6h5&sessionId=,https://www.zhipin.com/gongsi/5c2aa068dd6a32a20nx83dW1.html,雁塔区
Python,西安,python,大专,1-3年,app|Django|PostgreSQL|MySQL|Redis|Python|,"[12000, 20000]",0薪,"[""年终奖"", ""节假日加班费"", ""全勤奖"", ""零食下午茶"", ""节日福利"", ""生日福利"", ""底薪加提成"", ""五险一金"", ""定期体检"", ""绩效奖金"", ""团建聚餐""]",景先生,招聘者,False,听雪网络,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20171107/4c76f6e1d7f7b65b07e25527cb69ffb4cfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,不需要融资,"[20, 99]",https://www.zhipin.com/job_detail/43e72669bcdcec111Hdy2NS8FFdQ.html?lid=aIw13aFa3Ip.search.15&securityId=PNBLwRJh9BXyf-I1iYaZ9ZdOJBRFjZSMSCT6RQMehtbgOZYah_hYgWu6-hXYk2uYywHyO73331rraPuaT1Wr6pgH5mPUcMU-1czkmxDNFgpUtAwUtA~~&sessionId=,https://www.zhipin.com/gongsi/1cfe26014ebae2250HZ_2Nq7.html,雁塔区
Python,西安,python,本科,经验不限,Linux|服务端开发经验|MySQL|全栈开发经验|云计算经验|||||,"[15000, 30000]",16薪,"[""节日福利"", ""交通补助"", ""免费班车"", ""补充医疗保险"", ""有无线网"", ""员工旅游"", ""带薪年假"", ""意外险"", ""五险一金"", ""年终奖"", ""团建聚餐"", ""免费健身房"", ""公仔周边活动"", ""定期体检""]",杨先生,云计算开发工程师,False,腾讯,"https://img.bosszhipin.com/beijin/mcs/bar/20200430/4204e9c9f200b00b77fb59d093acd281be1bd4a3bd2a63f070bdbdada9aad826.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/a963c900dabb97171nV_3tW7GFFW.html?lid=aIw13aFa3Ip.search.16&securityId=is_O3CsXC4z3M-y1c2AGCPtNSioX3FSGU-j1aVIrFlECol1WZXz5hFKba8Ej84R5kNApLKja8L5eCNtbhwtbyg-7e_644sQH188qwKX1j53x&sessionId=,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html,雁塔区
python开发,西安,python,本科,1年以内,数据开发|运维开发|Python|计算机相关专业|,"[8000, 13000]",0薪,无,张女士,HR,False,陕西科维立创科技,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20240407/7bf6f160950405e976d297a04fede5393a295e0939267326f427595a1bf97d46299e3c4cfd2343f9.png.webp?x-oss-process=image/resize,w_100,limit_0",仪器仪表,未融资,"[0, 20]",https://www.zhipin.com/job_detail/1dcec347320045281Xx83tu0E1NT.html?lid=aIw13aFa3Ip.search.17&securityId=CZMH4ylHELp6C-A1EYxhYgkdI9gae6zidxlfoe10fw6sEm8coCsMEM83N5stxbBv6fbtu9Fk3IjBvPMOlAtboADOsQUwjvpVKc483BLwQRx33rMCKFyGhR4r_48zksM7Sjcd5qBzlhXuqz9SKxtueDJ1&sessionId=,https://www.zhipin.com/gongsi/9b9a15a25e4dd35d1XN_3tu_FFs~.html,雁塔区
python实习生,西安,python,本科,3个月,Django|MySQL|Python,"[150, 200]",0薪,无,杨先生,总经理,True,博彤网络,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[0, 20]",https://www.zhipin.com/job_detail/b90eaea14a5e67e41Hx52ty-E1pX.html?lid=aIw13aFa3Ip.search.18&securityId=TVklYzZEDUmx6-W1wzBdTQsWW3Tzdp7THjRrlaOV2PmvTzjRhe02IRopWT96aQH8pcrUAnXYqiT_tjCo1QKhOlp4dXBTRjNO_G6d10mdyVg2gf5LY9w~&sessionId=,https://www.zhipin.com/gongsi/04bbf349302ee9f41HRz29y5EFU~.html,碑林区
python开发,西安,python,本科,经验不限,Java|PyTorch|MySQL|AI人工智能方面经验||,"[10000, 12000]",0薪,"[""员工旅游"", ""底薪加提成"", ""加班补助"", ""节日福利"", ""零食下午茶"", ""年终奖"", ""团建聚餐"", ""股票期权""]",沈女士,人事,False,七七卡卡娱乐影像,"https://img.bosszhipin.com/beijin/upload/com/logo/20190717/7a27c439d8d2d682a66fd287d7d9785065a41ea6e8cbc977a26bed438cff849d.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[20, 99]",https://www.zhipin.com/job_detail/b4fa8043fcd5b4351HBy09u1EltW.html?lid=aIw13aFa3Ip.search.19&securityId=yO0NbwELcX7rp-M1VLHc9lXZlKHcaaTcPAlGfpoBQ_CZOf2gRcCw9mT4LzDDs7GkHVC5gF1RNC0hBvR3xG4C6YjAxp1Z_1ICT2HqHrmLHQsTkG90sVM~&sessionId=,https://www.zhipin.com/gongsi/1cbca10eba92516d1HB53Nm8Ew~~.html,碑林区
python后端开发,西安,python,本科,1-3年,本科|1-3年经验|Python,"[7000, 10000]",0薪,无,蔡先生,推广经理,False,天梦来思,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",广告营销,未融资,"[0, 20]",https://www.zhipin.com/job_detail/80472b0ea6ea08eb03R82tu5ElJZ.html?lid=aIw13aFa3Ip.search.20&securityId=nsy6mikkHSG2E-r1I3p-lLyBhyaayIxnF1hAPBukfmbBp155hZoMmheeQVaWuddDlD74GpK-4HeozhpLfNMkGrAhn0h1Xh6pFbKc1UdIOxCMnAUO426QFKUW-SinhomhW_LcVV8PN3vcuFBQIvmDErM~&sessionId=,https://www.zhipin.com/gongsi/62a39049531fac3b1nx62dy8FlU~.html,雁塔区
python开发工程师,西安,python,本科,3-5年,Java|Docker|Python,"[12000, 13000]",0薪,"[""五险一金"", ""定期体检"", ""年终奖"", ""带薪年假"", ""免费班车"", ""节日福利""]",常女士,招聘专员,False,博彦科技,"https://img.bosszhipin.com/beijin/mcs/banner/eb7c416aa1c228b43cbae35dbf1e6990cfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,已上市,"[0, 10000]",https://www.zhipin.com/job_detail/15c9414809509f761XJ80ty1F1NX.html?lid=aIw13aFa3Ip.search.21&securityId=xhl8Pt9F_hNjo-11c3NsChPueZVNcGP2HGsQ7Sb7HcUCS7km5eHdK5_qyPHk--IWUguZOzoL1lFxZ17SVW8b82H1I66rcBz3l0qxAGAVvZBdyvkZB2rt9ClCpgXtFtY4Z-lSUwB0u9EVOA1gUiZJ5kk~&sessionId=,https://www.zhipin.com/gongsi/423a6ce28f3345a51HJy2dS5FlY~.html,雁塔区
python开发工程师,西安,python,本科,3-5年,后端|Python|PyTorch|MySQL|计算机相关专业|,"[13000, 18000]",0薪,"[""五险一金"", ""全勤奖"", ""餐补"", ""带薪年假"", ""交通补助"", ""工龄奖""]",白先生,招聘者,False,勺子科技,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20211022/7bf6f160950405e9a67a1d5f7d1347c506b14bf285890910783e76c5af1a114a37bab3aa08fcf464.jpg?x-oss-process=image/resize,w_100,limit_0",互联网,未融资,"[20, 99]",https://www.zhipin.com/job_detail/75e871847448b5f71nN-2dy_E1RU.html?lid=aIw13aFa3Ip.search.22&securityId=qt7FHcLgp9VRE-21VY-VYa71ZqgUDak5cjhx9B23NMQ-eaAuVCz-qXumD8adJO4GZLMncIdSQWTJPn_9uGwrqUq-5K9Z76w1Hfj-l8yLZ4v_jCnffg~~&sessionId=,https://www.zhipin.com/gongsi/78214b9e268d386d03x72928FA~~.html,雁塔区
Python后端开发,西安,python,本科,经验不限,TCP|分布式经验|微服务经验|网络|linux||,"[15000, 30000]",0薪,"[""交通补助"", ""生日福利"", ""法定节假日三薪"", ""意外险"", ""绩效奖金"", ""团建聚餐"", ""五险一金"", ""住房补贴"", ""补充医疗保险"", ""保底工资"", ""节假日加班费"", ""夜班补助"", ""年终奖"", ""免费班车"", ""定期体检"", ""带薪年假"", ""员工旅游"", ""零食下午茶"", ""加班补助"", ""节日福利""]",庞先生,招聘专员,False,华为云计算,"https://img.bosszhipin.com/beijin/upload/admin/20241009/7a57a5a743894a0e61db0c9f94e55da3789b92c168491f5575a8c6cfd5eed090fc41aa91be88d106.png.webp?x-oss-process=image/resize,w_100,limit_0",计算机服务,不需要融资,"[0, 10000]",https://www.zhipin.com/job_detail/ee5fae43323d80b31Hd73dy8GVtX.html?lid=aIw13aFa3Ip.search.23&securityId=k3Bw-9a9sVnkI--1vqi7Sy1fUBEgeZKZfA4GL2mZQ7fx-biXEflu1y7dArzKxa0LNKC9MFDlHzVsDCQNRxs3_pXidF6frgmC6T7Eo8AxfvAZZSiVCzM~&sessionId=,https://www.zhipin.com/gongsi/08fbb99a8f9314e21nF73Nq9E1E~.html,长安区
python工程师,西安,python,本科,经验不限,Django|MySQL|Python,"[5000, 6000]",0薪,"[""五险一金"", ""股票期权"", ""年终奖"", ""带薪年假"", ""员工旅游"", ""零食下午茶"", ""节日福利""]",岳女士,招聘主管,False,Trunkey 创旗,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20180605/99ef73f3e60025046f20f160a6c5f447cfcd208495d565ef66e7dff9f98764da.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,已上市,"[100, 499]",https://www.zhipin.com/job_detail/c4701d22980184791Hx709u9EVZV.html?lid=aIw13aFa3Ip.search.24&securityId=xL5qGr_zAFklI-l1Vvw2K3IKAA1_rwDu--I2i5sx_bH1EimI6FtI_MR3uYceUyuAAgnP2RXTdLFsc_wj-cGBvWhoX1YdaZAbfwGTcFyxBbnFde1EVJRhcB89E9TlCQWGEDF4PdwHU5NJYY2fCs7oGg~~&sessionId=,https://www.zhipin.com/gongsi/c118e6ee0baebd1f1nV63Ny5.html,未央区
python机器学习算法,西安,python,本科,3个月,机器学习算法,"[150, 200]",0薪,无,许女士,招聘者,True,宝沣投资,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_100,limit_0",基金,未融资,"[20, 99]",https://www.zhipin.com/job_detail/00068596a6f1b3041XF839S8FlJV.html?lid=aIw13aFa3Ip.search.25&securityId=yHeIeIgw1xjW9-z1W0nOgQx-7W2q89MoAIWMxZfeR-2IbH-9DfTTLvLelR3QeaSezfpIsQiwNFN6R5KO_XV5p7q9VSzAlo388Zv0qYUtn8ZAkNHz16_rgOXRl_ItjFJsw6vD6ZbYSH-kKVhMCpvvS9fl&sessionId=,https://www.zhipin.com/gongsi/e11069b2175f5fb31Xdz0t-_EVQ~.html,雁塔区
python开发工程师,西安,python,本科,5-10年,机器人|Django|MySQL|机器学习经验|云计算经验|||||||,"[15000, 23000]",0薪,"[""带薪年假"", ""交通补助"", ""补充医疗保险"", ""员工旅游"", ""餐补"", ""节日福利"", ""五险一金"", ""通讯补贴"", ""定期体检"", ""年终奖""]",谢女士,招聘专员,False,上海蒙帕,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20210510/88b40f25e2a4fd44be5138ec7cfa61ba55491ae17e65be8e65b899ac5de8a6bf_s.jpg?x-oss-process=image/resize,w_100,limit_0",企业服务,不需要融资,"[100, 499]",https://www.zhipin.com/job_detail/03b702f9faed01851Hd-2dW9EFpT.html?lid=aIw13aFa3Ip.search.26&securityId=kWuGgGKD64_bW-D1PTrY7QFhmSQ1Jy6falpKuxz5-7-8jx5vIY_rzIodPCfPmvfSDGitUJvmSKHlMHa9fsswcbxOtTQu5-N86B3VLUcFbw6jxa436gXWlyRKkmZpwLl8nD-ApR_JEkjfrkxM09uxbg~~&sessionId=,https://www.zhipin.com/gongsi/6384049add5479771nV9392-Ew~~.html,雁塔区
python高级工程师,西安,python,大专,3-5年,数据开发|Python,"[6000, 8000]",0薪,无,郭先生,.Net工程师,False,喜茨软件,"https://img.bosszhipin.com/beijin/app/mobile/normal-0e3f1e4441a21d4874cece3a3d81f0fe.png?x-oss-process=image/resize,w_100,limit_0",计算机软件,未融资,"[0, 20]",https://www.zhipin.com/job_detail/8f3fe9dc906e20071XJz29m-GVdZ.html?lid=aIw13aFa3Ip.search.27&securityId=Rw1B4GqRL38Pd-t1w1NyJSOo6u0-ParL5aqdpQeKbzTBl58IRBgxHjwwXYBFyCGZT7mYVkL2bV-4WRxNBq3nC50wKyui5vDLW_CRN2cp5J82osyLUoDn&sessionId=,https://www.zhipin.com/gongsi/6f19a651207db09e1nd529-1GFA~.html,雁塔区
python开发工程师,西安,python,本科,3-5年,Django|MySQL|Python,"[9000, 14000]",14薪,"[""员工旅游"", ""团建聚餐"", ""绩效奖金"", ""带薪年假"", ""年终奖"", ""定期体检"", ""五险一金""]",薛女士,人力资源,False,西安易光年电子商...,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20230413/7bf6f160950405e988dfcdb3fc7294fc96b5c2b60dab254f68c8e45fc319f13a909be3e5f4d6f4dd.jpg?x-oss-process=image/resize,w_100,limit_0",批发/零售,不需要融资,"[100, 499]",https://www.zhipin.com/job_detail/1d0104cb9b0313e81HFz2tm9E1BX.html?lid=aIw13aFa3Ip.search.28&securityId=2Nvv45AS63bym-X1DKqCyQvleTQheV1bXuwUAuQRBgM_Q9f7qP2QFUYzWw4sSfRh7z59XbvlcGfk_n8OkRmqhhK-cqG8Qb3L0yIdVD0rgm_TRW9Cm8N1&sessionId=,https://www.zhipin.com/gongsi/fef8f1f7c38b302c1XR62t-1EFM~.html,雁塔区
Python开发工程师,西安,python,本科,3-5年,Django|MySQL|Linux开发/部署经验|Python,"[10000, 15000]",0薪,"[""五险一金"", ""加班补助"", ""零食下午茶""]",魏女士,人事经理,False,烛照科技,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20160829/659592327d10f4697934865b6c41e4f82fa9e9d7f1e788ad0e559e4cf595f185.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,天使轮,"[20, 99]",https://www.zhipin.com/job_detail/7cad3247cc26149e1nZ_2ty9FVNT.html?lid=aIw13aFa3Ip.search.29&securityId=s9OmuqRtOFucI-41c5cylFc0Wyatho9opUfWrpVhjYUnQDmtSHII9JC99iAq8u16nb4BLtdg6VnooB6xEN7AdG8qiWPUaoRVFj0cZWNTqszvuZDa&sessionId=,https://www.zhipin.com/gongsi/d3c9ad82117f28431HF83NS5.html,雁塔区
python技术工程师,西安,python,本科,3-5年,Docker|MySQL|Oracle|Python,"[9000, 12000]",0薪,"[""带薪年假"", ""带薪病假"", ""股票期权"", ""意外险"", ""福利机票"", ""员工旅游"", ""节日福利"", ""年终奖"", ""定期体检"", ""交通补助"", ""五险一金"", ""零食下午茶""]",王女士,HR,False,敬在信息,"https://img.bosszhipin.com/beijin/upload/com/logo/20190925/dc34b01fc714f928b2374b965856096b7bfbe8ccaa9e9f270e4b5e08c7efe432.jpg?x-oss-process=image/resize,w_100,limit_0",计算机软件,不需要融资,"[100, 499]",https://www.zhipin.com/job_detail/5a4b8b11143be0611HJ939-8FlVQ.html?lid=aIw13aFa3Ip.search.30&securityId=FW6x2CdO8cHjx-z148GqBEYPIPF6WayDQt5AuUB1fnzyXiXK08znqUDWKEErzxQk2oVsUyS1Dj327w9C7_DJ27CbScf3L2ZrAnX4pyueDTxhuogWqbe6JgiLvb-EnxsQvHT6jb6zjoXyLJpqIacQvjE~&sessionId=,https://www.zhipin.com/gongsi/5e61332f9b90bcbe0nR_3dq6FA~~.html,雁塔区
